Scene,Filename,Method,BE (cm),Compression Ratio,Compression Time (s),Decompression Time (s),Mean Error (Axis),Max Error (Axis),Mean Error (L2),Max Error (L2),Num Packets,Chamfer Distance,Occupancy IoU
campus,0000000003.bin,EB-Octree(Axis),1.0,0.5508042597886348,,,0.0001555679773446,0.0070002079010009,0.0001823968723358,0.0099498361278938,6512,1.7390073870336956e-06,0.999576354530737
campus,0000000003.bin,EB-Octree(L2),1.0,0.5446037985100485,,,0.0003509454545564,0.010000005364418,0.0003947407144378,0.0100003242510865,6438,4.453148501664741e-06,0.9987291981845688
campus,0000000003.bin,EB-HC-3D(Axis),1.0,0.2745643028846153,,,0.0037824080791324,0.0058214664459228,0.0048631530415685,0.008567836182857,3246,5.105592073559873e-05,0.8892873471253857
campus,0000000003.bin,EB-HC-3D(L2),1.0,0.2745643028846153,,,0.0037824080791324,0.0058214664459228,0.0048631530415685,0.008567836182857,3246,5.105592073559873e-05,0.8892873471253857
campus,0000000004.bin,Huffman,0.0,0.6576850149740693,,,0.0,0.0,0.0,0.0,7780,0.0,1.0
campus,0000000004.bin,EB-HC(Axis),1.0,0.3512880134401402,,,0.0046560834161937,0.0090000629425048,0.0058213097299912,0.0103929281365734,4156,7.529605533271933e-05,0.8789583897206513
campus,0000000004.bin,EB-HC(L2),1.0,0.3578761981284442,,,0.0039048788603395,0.0079998970031738,0.0048753713964659,0.0086615534985765,4234,5.30554535156077e-05,0.9041610118102278
campus,0000000004.bin,EB-Octree(Axis),1.0,0.5502091229550994,,,0.000159439528943,0.0080001354217529,0.0001869877059798,0.0099498361278938,6509,1.7785100076275798e-06,0.9994841920019418
campus,0000000004.bin,EB-Octree(L2),1.0,0.5440490586761678,,,0.0003547274100128,0.0099999997764825,0.0003990302358093,0.0100002288932043,6436,4.485524426119067e-06,0.9989684622502693
campus,0000000004.bin,EB-HC-3D(Axis),1.0,0.274442767132256,,,0.0037822611629962,0.0053495168685913,0.0048657887373097,0.0086021891188776,3247,5.110949012053075e-05,0.8848335071354085
campus,0000000004.bin,EB-HC-3D(L2),1.0,0.2744454724744954,,,0.0037822457961738,0.0053495168685913,0.0048657506036511,0.0086021891188776,3247,5.110900607339274e-05,0.8848335071354085
city,0000000000.bin,Huffman,0.0,0.6539287485022518,,,0.0,0.0,0.0,0.0,7597,0.0,1.0
city,0000000000.bin,EB-HC(Axis),1.0,0.3443085567904805,,,0.0046519758179783,0.0090000629425048,0.0058222652595858,0.0103929281365734,4000,7.537632365950324e-05,0.880880244742326
city,0000000000.bin,EB-HC(L2),1.0,0.3508518227767908,,,0.0039109890349209,0.0080000162124633,0.0048886060924999,0.0086614846823587,4076,5.328665368432389e-05,0.8934676207619869
city,0000000000.bin,EB-Octree(Axis),1.0,0.5510577201173408,,,0.0001588399900356,0.0070002079010009,0.0001855359916089,0.010099481143046,6402,1.7754004051688864e-06,0.9994973690410744
city,0000000000.bin,EB-Octree(L2),1.0,0.5447079563139555,,,0.0003563609207049,0.010000005364418,0.0003982432471927,0.0100003242510865,6329,4.4890840337368745e-06,0.9989476660174657
city,0000000000.bin,EB-HC-3D(Axis),1.0,0.2633509620019557,,,0.0037853526882827,0.0056243538856506,0.0048680554145754,0.0084795943430301,3060,5.120079248581566e-05,0.8966563541170871
