Scene,Filename,Method,BE (cm),Compression Ratio,Compression Time (s),Decompression Time (s),Mean Error (Axis),Max Error (Axis),Mean Error (L2),Max Error (L2),Num Packets,Chamfer Distance,Occupancy IoU,TotalSceneFiles,TotalSceneGB
city,0000000001.bin,Huffman,0.0,0.6536415987761829,,,0.0,0.0,0.0,0.0,7603,0.0,1.0,108,0.2
city,0000000001.bin,EB-HC(Axis),1.0,0.3438938459718313,,,0.004661972168833,0.0090000629425048,0.0058393811926279,0.0103929281365734,4000,7.575315627602258e-05,0.8855678653948693,108,0.2
city,0000000001.bin,EB-HC(L2),1.0,0.3504834187639117,,,0.0039061843417584,0.0070000886917114,0.0048839448322374,0.0086615190903309,4077,5.321929726367028e-05,0.9138356082015512,108,0.2
city,0000000001.bin,EB-Octree(Axis),1.0,0.5502767895711412,,,0.0001583232369739,0.0080001354217529,0.0001839933940349,0.0099498241470104,6400,1.7581825776158177e-06,0.9994814826453812,108,0.2
city,0000000001.bin,EB-Octree(L2),1.0,0.5438722475808426,,,0.0003613425942603,0.010000005364418,0.0004030464763579,0.0100001335145179,6326,4.544926701048442e-06,0.9989944537841532,108,0.2
city,0000000001.bin,EB-HC-3D(Axis),1.0,0.2622801297554292,,,0.0037929078098386,0.0052881240844726,0.0048751712755073,0.0085443849539931,3051,5.1342693519578256e-05,0.899488189563842,108,0.2
city,0000000001.bin,EB-HC-3D(L2),1.0,0.2622801297554292,,,0.0037929078098386,0.0052881240844726,0.0048751712755073,0.0085443849539931,3051,5.1342693519578256e-05,0.899488189563842,108,0.2
city,0000000002.bin,Huffman,0.0,0.65356538226199,,,0.0,0.0,0.0,0.0,7623,0.0,1.0,108,0.2
city,0000000002.bin,EB-HC(Axis),1.0,0.3435089683330178,,,0.0046587293036282,0.0090000629425048,0.0058324338670525,0.0103929281365734,4007,7.560033098869967e-05,0.8888626047873206,108,0.2
city,0000000002.bin,EB-HC(L2),1.0,0.3500194814637988,,,0.0039037002716213,0.0080000162124633,0.004877470020554,0.0086615534985765,4083,5.310342056911384e-05,0.89374165801572,108,0.2
city,0000000002.bin,EB-Octree(Axis),1.0,0.5494129494113031,,,0.0001558409421704,0.0080001354217529,0.0001815801777074,0.0099498241470104,6408,1.7327541990335926e-06,0.9994679186228482,108,0.2
city,0000000002.bin,EB-Octree(L2),1.0,0.5430766719074548,,,0.0003508970257826,0.0099999979138374,0.0003920629643536,0.0100003242510865,6334,4.415122516163639e-06,0.9986229559502386,108,0.2
city,0000000002.bin,EB-HC-3D(Axis),1.0,0.2627061673924198,,,0.0037641583476215,0.0052908062934875,0.0048211502536849,0.0084462974107073,3064,5.038036744996401e-05,0.8982410752784097,108,0.2
city,0000000002.bin,EB-HC-3D(L2),1.0,0.2627082252935253,,,0.0037641336675733,0.0052908062934875,0.0048211188448473,0.0084462974107073,3064,5.03797485879222e-05,0.8982692993933626,108,0.2
person,0000000000.bin,Huffman,0.0,0.6459080184304935,,,0.0,0.0,0.0,0.0,7801,0.0,1.0,68,0.13
person,0000000000.bin,EB-HC(Axis),1.0,0.335076758395201,,,0.0046744490973651,0.0090000629425048,0.0058657983813349,0.0103929281365734,4047,7.625930530423045e-05,0.8819306888787309,68,0.13
person,0000000000.bin,EB-HC(L2),1.0,0.3418225945768352,,,0.0039241639897227,0.0080000162124633,0.0049198019020768,0.0086610028944555,4129,5.382941140267648e-05,0.9023526392334672,68,0.13
person,0000000000.bin,EB-Octree(Axis),1.0,0.5441340900539985,,,0.0002210945676779,0.0089998245239257,0.0002554711714006,0.0106302164179052,6572,2.3749174861421635e-06,0.9992087896279512,68,0.13
person,0000000000.bin,EB-Octree(L2),1.0,0.5349420271423196,,,0.0005003339610993,0.0100002288818359,0.0005568536869461,0.0100002288818359,6461,6.229925635654176e-06,0.9982018916100264,68,0.13
person,0000000000.bin,EB-HC-3D(Axis),1.0,0.2375005961559862,,,0.0037233128678053,0.0049991607666015,0.0047668631573691,0.0085153769176237,2869,4.924478556605633e-05,0.9003333048457397,68,0.13
person,0000000000.bin,EB-HC-3D(L2),1.0,0.2375019209470666,,,0.0037233170587569,0.0049991607666015,0.0047668740659958,0.0085153769176237,2869,4.9245018086175305e-05,0.9003008238471268,68,0.13
person,0000000001.bin,Huffman,0.0,0.6458937673188901,,,0.0,0.0,0.0,0.0,7802,0.0,1.0,68,0.13
person,0000000001.bin,EB-HC(Axis),1.0,0.33500495393109,,,0.0046692565083503,0.0090000629425048,0.0058592484755046,0.0103929281365734,4047,7.609378093148973e-05,0.8896194359497112,68,0.13
person,0000000001.bin,EB-HC(L2),1.0,0.3418020387943138,,,0.0039209243841469,0.0080000162124633,0.0049078721622699,0.0086609340738627,4129,5.356681886350551e-05,0.9150893026299926,68,0.13
person,0000000001.bin,EB-Octree(Axis),1.0,0.544577432327182,,,0.0002084467705572,0.0080000162124633,0.0002403028915522,0.0099498361278938,6579,2.221076165976526e-06,0.9992811960897068,68,0.13
person,0000000001.bin,EB-Octree(L2),1.0,0.535738506614955,,,0.0004852972924709,0.0099999997764825,0.0005400450494733,0.0100003242510865,6472,6.035565328245834e-06,0.9980773722890052,68,0.13
person,0000000001.bin,EB-HC-3D(Axis),1.0,0.2390741977015879,,,0.0037082701455801,0.0050010681152343,0.0047346511851889,0.0085197063745349,2888,4.865293313603166e-05,0.9058442670686172,68,0.13
person,0000000001.bin,EB-HC-3D(L2),1.0,0.2390748599918405,,,0.0037082850467413,0.0050010681152343,0.0047346722075252,0.0085197063745349,2888,4.865335045370075e-05,0.9058442670686172,68,0.13
person,0000000002.bin,Huffman,0.0,0.6459293814501278,,,0.0,0.0,0.0,0.0,7802,0.0,1.0,68,0.13
person,0000000002.bin,EB-HC(Axis),1.0,0.3350125193752236,,,0.0046766670420765,0.0090000629425048,0.0058742183158806,0.0103929281365734,4047,7.646437132598564e-05,0.8980030721966206,68,0.13
person,0000000002.bin,EB-HC(L2),1.0,0.3418147132466913,,,0.0039189481176435,0.0080000013113021,0.0049079098840189,0.0086610028944555,4129,5.357884690936931e-05,0.9068862685953246,68,0.13
person,0000000002.bin,EB-Octree(Axis),1.0,0.5446266046659513,,,0.0002143001038348,0.0089999437332153,0.00024768438189,0.0100994781917233,6578,2.309880866189444e-06,0.9992630935691434,68,0.13
person,0000000002.bin,EB-Octree(L2),1.0,0.5358153491514646,,,0.0004876596794929,0.0099999979138374,0.0005428701340649,0.0100001335145179,6472,6.073938076831411e-06,0.9983105982998148,68,0.13
person,0000000002.bin,EB-HC-3D(Axis),1.0,0.2392598333399573,,,0.0037144729867577,0.0049998760223388,0.0047421579141013,0.0085985573728312,2890,4.878777957685879e-05,0.9061900849082444,68,0.13
person,0000000002.bin,EB-HC-3D(L2),1.0,0.2392611581415683,,,0.0037144818343222,0.0049998760223388,0.0047421591195142,0.0085985573728312,2890,4.8787799252274856e-05,0.9061900849082444,68,0.13
residential,0000000000.bin,Huffman,0.0,0.6475419194723137,,,0.0,0.0,0.0,0.0,7838,0.0,1.0,481,0.89
residential,0000000000.bin,EB-HC(Axis),1.0,0.3361013073191365,,,0.0046703801490366,0.0090000033378601,0.0058598694916631,0.0103929281365734,4069,7.607633750699781e-05,0.8868102945580054,481,0.89
residential,0000000000.bin,EB-HC(L2),1.0,0.3428560098346354,,,0.0039273705333471,0.0079999566078186,0.0049189761337774,0.0086614846823587,4150,5.3786088420185375e-05,0.902792124207415,481,0.89
residential,0000000000.bin,EB-Octree(Axis),1.0,0.5501143408547144,,,0.0001892295986181,0.0079998970031738,0.0002185279525059,0.0099498361278938,6659,2.03693585580531e-06,0.999415526944208,481,0.89
residential,0000000000.bin,EB-Octree(L2),1.0,0.5396253849916062,,,0.0005087363533675,0.010000005364418,0.0005592142613671,0.0100001335145179,6532,6.419022875487382e-06,0.9984470753251958,481,0.89
residential,0000000000.bin,EB-HC-3D(Axis),1.0,0.2463529893854674,,,0.0037338624242693,0.0050010681152343,0.0047829947132755,0.0086211559459531,2982,4.955401626861824e-05,0.907073376530336,481,0.89
residential,0000000000.bin,EB-HC-3D(L2),1.0,0.2463529893854674,,,0.0037338624242693,0.0050010681152343,0.0047829947132755,0.0086211559459531,2982,4.955401626861824e-05,0.907073376530336,481,0.89
residential,0000000001.bin,Huffman,0.0,0.6470747396803505,,,0.0,0.0,0.0,0.0,7837,0.0,1.0,481,0.89
residential,0000000001.bin,EB-HC(Axis),1.0,0.3353242072834016,,,0.0046753687784075,0.0090000629425048,0.0058670351849026,0.0103929281365734,4062,7.625163223509999e-05,0.8841069005774146,481,0.89
residential,0000000001.bin,EB-HC(L2),1.0,0.3420472049820728,,,0.0039247656241059,0.0080000162124633,0.0049183353014069,0.0086614158672348,4143,5.3777555935019696e-05,0.8957530182602763,481,0.89
residential,0000000001.bin,EB-Octree(Axis),1.0,0.5492064246968772,,,0.0001873748551588,0.0070000290870666,0.0002167307596891,0.0099498361278938,6652,2.0179927945919184e-06,0.9995146281047064,481,0.89
residential,0000000001.bin,EB-Octree(L2),1.0,0.5395922341384021,,,0.0004905161331407,0.0099999997764825,0.0005395849537271,0.0100002288932043,6536,6.166784961205079e-06,0.998560693544878,481,0.89
residential,0000000001.bin,EB-HC-3D(Axis),1.0,0.2460380683634672,,,0.0037340025883167,0.0049991607666015,0.0047846523659854,0.0085439858672069,2980,4.96029971104601e-05,0.8825506532853626,481,0.89
residential,0000000001.bin,EB-HC-3D(L2),1.0,0.2460393894477075,,,0.0037340123672038,0.0049991607666015,0.0047846788329893,0.0085439858672069,2980,4.9603476331866135e-05,0.8825506532853626,481,0.89
residential,0000000002.bin,Huffman,0.0,0.6464453694604704,,,0.0,0.0,0.0,0.0,7831,0.0,1.0,481,0.89
residential,0000000002.bin,EB-HC(Axis),1.0,0.3346884972209895,,,0.0046819988638162,0.0090000629425048,0.005872980947748,0.0103929281365734,4055,7.630940644183314e-05,0.8814272211720227,481,0.89
residential,0000000002.bin,EB-HC(L2),1.0,0.3413989359453919,,,0.0039200596511363,0.0079998970031738,0.0049089990234433,0.0086614846823587,4136,5.359845167021512e-05,0.910021594817244,481,0.89
residential,0000000002.bin,EB-Octree(Axis),1.0,0.5484510714512141,,,0.0001893348089652,0.0070000290870666,0.0002187521919817,0.0099498361278938,6644,2.0224706073106924e-06,0.999497731420248,481,0.89
residential,0000000002.bin,EB-Octree(L2),1.0,0.5385726399543523,,,0.0004938662168569,0.00999999884516,0.0005435235140678,0.0100001335145179,6525,6.182283757955329e-06,0.99879459577104,481,0.89
residential,0000000002.bin,EB-HC-3D(Axis),1.0,0.2459140355882415,,,0.0037740732077509,0.0049991607666015,0.0048356467046521,0.0086024348948068,2979,5.062303383460705e-05,0.9020804128966484,481,0.89
residential,0000000002.bin,EB-HC-3D(L2),1.0,0.2459146959994928,,,0.0037740683183073,0.0049991607666015,0.0048356393335842,0.0086024348948068,2979,5.062290645888079e-05,0.9020804128966484,481,0.89
road,0000000000.bin,Huffman,0.0,0.6531643403935755,,,0.0,0.0,0.0,0.0,7766,0.0,1.0,297,0.53
road,0000000000.bin,EB-HC(Axis),1.0,0.3422622652530032,,,0.0046539208851754,0.0089998245239257,0.0058235387661705,0.0103929281365734,4069,7.538804051748321e-05,0.8732278926810527,297,0.53
road,0000000000.bin,EB-HC(L2),1.0,0.3487027511527063,,,0.003904438810423,0.0079998970031738,0.0048761063598662,0.0086614846823587,4146,5.3074335132989286e-05,0.8938150468596282,297,0.53
road,0000000000.bin,EB-Octree(Axis),1.0,0.5602785336875566,,,0.0001208827961818,0.0080001354217529,0.0001409288858326,0.0100500131228995,6661,1.33189204122387e-06,0.9996719653376708,297,0.53
road,0000000000.bin,EB-Octree(L2),1.0,0.5553447083175198,,,0.000278175692074,0.010000005364418,0.0003107974183291,0.0100001335145179,6603,3.502451141082869e-06,0.999179980592874,297,0.53
road,0000000000.bin,EB-HC-3D(Axis),1.0,0.2808949523171214,,,0.0037917247973382,0.0057959556579589,0.0048726524015255,0.0085780783291053,3340,5.129995629878748e-05,0.8765531833044816,297,0.53
road,0000000000.bin,EB-HC-3D(L2),1.0,0.2808949523171214,,,0.0037917247973382,0.0057959556579589,0.0048726524015255,0.0085780783291053,3340,5.129995629878748e-05,0.8765531833044816,297,0.53
road,0000000001.bin,Huffman,0.0,0.6532573404475895,,,0.0,0.0,0.0,0.0,7764,0.0,1.0,297,0.53
road,0000000001.bin,EB-HC(Axis),1.0,0.3423399225025379,,,0.004650202114135,0.0089999437332153,0.0058178149782729,0.0103929281365734,4069,7.52756745590992e-05,0.8772228770563214,297,0.53
road,0000000001.bin,EB-HC(L2),1.0,0.3488637924209744,,,0.0038949283771216,0.0080000162124633,0.0048630730376455,0.0086614846823587,4146,5.284501466584825e-05,0.8973658309158724,297,0.53
road,0000000001.bin,EB-Octree(Axis),1.0,0.560118427323914,,,0.0001226200693054,0.0070000290870666,0.0001433092644767,0.0099498361278938,6657,1.3567376247744113e-06,0.99964517713849,297,0.53
road,0000000001.bin,EB-Octree(L2),1.0,0.5553320569679051,,,0.0002743782824836,0.0099999997764825,0.000307872123761,0.0100001335145179,6600,3.445976211952556e-06,0.9991675650595668,297,0.53
road,0000000001.bin,EB-HC-3D(Axis),1.0,0.2795590345938115,,,0.003787791589275,0.0056214332580566,0.004871821665366,0.0085386681436443,3323,5.125069439494179e-05,0.891294815579056,297,0.53
road,0000000001.bin,EB-HC-3D(L2),1.0,0.2795610541593625,,,0.0037877627182751,0.0056214332580566,0.0048717790171947,0.0085386681436443,3323,5.124995067492646e-05,0.891294815579056,297,0.53
road,0000000002.bin,Huffman,0.0,0.6531467567764029,,,0.0,0.0,0.0,0.0,7764,0.0,1.0,297,0.53
road,0000000002.bin,EB-HC(Axis),1.0,0.3423974789734974,,,0.0046608760021626,0.0090000629425048,0.0058333948060926,0.0103929281365734,4070,7.558219284000813e-05,0.8738390487854665,297,0.53
road,0000000002.bin,EB-HC(L2),1.0,0.3488851376818617,,,0.0039023249410092,0.0080000162124633,0.0048717183824446,0.0086615190903309,4147,5.299107913122446e-05,0.891308547217679,297,0.53
road,0000000002.bin,EB-Octree(Axis),1.0,0.5594967908334141,,,0.0001233403309015,0.0080000162124633,0.0001437045657573,0.0100994575356061,6651,1.3608921720995113e-06,0.9996325630766718,297,0.53
road,0000000002.bin,EB-Octree(L2),1.0,0.5551649543932198,,,0.0002681727637536,0.0100000016391277,0.0003007884002376,0.0100001335145179,6599,3.379028565530553e-06,0.9991019064077618,297,0.53
road,0000000002.bin,EB-HC-3D(Axis),1.0,0.2806358295911005,,,0.0037770071066915,0.0051660537719726,0.0048596924567908,0.0085351608963833,3336,5.101073636222459e-05,0.8865716082498043,297,0.53
road,0000000002.bin,EB-HC-3D(L2),1.0,0.2806378487814859,,,0.0037770261988043,0.0051660537719726,0.004859693135102,0.0085351608963833,3336,5.10107395459842e-05,0.8865716082498043,297,0.53
